name,count,total_sec,avg_ms,min_ms,max_ms
preprocess.load,2,0.0002985699102282524,0.1492849551141262,0.11770427227020264,0.18086563795804977
preprocess.clean,2,1.2650154531002045e-05,0.006325077265501022,0.0026300549507141113,0.010020099580287933
preprocess.chunk,2,5.168840289115906e-06,0.002584420144557953,0.001339241862297058,0.0038295984268188477
preprocess.chunk_per_chunk,2,2.7883797883987427e-06,0.0013941898941993713,0.001109205186367035,0.0016791746020317078
preprocessing_documents,2,4.582013934850693e-05,0.022910069674253464,0.014210119843482971,0.031610019505023956
preprocessing_total_run,1,0.002741183154284954,2.741183154284954,2.741183154284954,2.741183154284954
baseline.preprocess_total,1,0.0027832938358187675,2.7832938358187675,2.7832938358187675,2.7832938358187675
embedding.tokenize,1,0.001307634636759758,1.307634636759758,0.0,0.0
embedding.forward,1,0.16507485136389732,165.07485136389732,0.0,0.0
embedding_corpus,1,0.1914439434185624,191.4439434185624,191.4439434185624,191.4439434185624
baseline.embed_total,1,0.19185904785990715,191.85904785990715,191.85904785990715,191.85904785990715
context_store_vectorstore,1,4.669651389122009e-06,0.004669651389122009,0.004669651389122009,0.004669651389122009
baseline.index_total,1,3.387033939361572e-05,0.03387033939361572,0.03387033939361572,0.03387033939361572
baseline.eval_total,1,6.50063157081604e-07,0.000650063157081604,0.000650063157081604,0.000650063157081604
baseline.pipeline_total_run,1,51.215895019471645,51215.895019471645,51215.895019471645,51215.895019471645
