name,count,total_sec,avg_ms,min_ms,max_ms
embedding.tokenize,5,0.003021804615855217,0.6043609231710434,0.0,0.0
embedding.forward,5,0.21365476120263338,42.730952240526676,0.0,0.0
embedding_query,5,0.21778020728379488,43.556041456758976,8.608956821262836,125.40647853165865
context_load_vectorstore,2,6.0323625802993774e-05,0.030161812901496887,0.02786237746477127,0.032461248338222504
context_load_memory.stm,2,7.259659469127655e-06,0.0036298297345638275,0.0,0.0
context_load_memory.ltm,2,0.00010908301919698715,0.054541509598493576,0.0,0.0
context_load_memory.em,2,3.409571945667267e-06,0.0017047859728336334,0.0,0.0
context_load_memory,2,0.00013957638293504715,0.06978819146752357,0.01478102058172226,0.12479536235332489
context_build_total,2,0.017863632179796696,8.931816089898348,8.783155120909214,9.080477058887482
llm.generate,2,11.690291445702314,5845.145722851157,5839.521253481507,5850.770192220807
context_store_memory,4,0.00036065466701984406,0.09016366675496101,0.011791475117206573,0.22410880774259567
