name,count,total_sec,avg_ms,min_ms,max_ms
preprocess.load,14,0.0007990156300365925,0.05707254500261375,0.05205906927585602,0.0815349631011486
preprocess.clean,14,0.00027773668989539146,0.01983833499252796,0.0017941929399967194,0.05303090438246727
preprocess.chunk,14,1.6884878277778625e-05,0.0012060627341270447,0.0005811452865600586,0.002835877239704132
preprocess.chunk_per_chunk,15,9.845476597547531e-06,0.0006563651065031687,0.0004498288035392761,0.0014621764421463013
preprocessing_documents,14,0.00039701489731669426,0.028358206951192448,0.008064787834882736,0.06386078894138336
preprocessing_total_run,1,0.001856866292655468,1.856866292655468,1.856866292655468,1.856866292655468
embedding.tokenize,29,0.0265842005610466,0.9166965710705723,0.0,0.0
embedding.forward,29,1.8508188240230083,63.821338759414076,0.0,0.0
embedding_corpus,1,0.7924806829541922,792.4806829541922,792.4806829541922,792.4806829541922
context_store_vectorstore,1,0.0003197169862687588,0.3197169862687588,0.3197169862687588,0.3197169862687588
embedding_query,28,1.0964321056380868,39.158289487074526,12.19750102609396,88.18184724077582
context_load_vectorstore,14,0.0015766145661473274,0.11261532615338053,0.04869280382990837,0.25730812922120094
context_load_memory.stm,14,0.00012718280777335167,0.009084486269525118,0.0,0.0
context_load_memory.ltm,14,0.0014109709300100803,0.10078363785786289,0.0,0.0
context_load_memory.em,14,2.2611115127801895e-05,0.0016150796519858496,0.0,0.0
context_load_memory,14,0.001751917414367199,0.12513695816908563,0.028594862669706345,0.19779615104198456
context_build_total,14,0.4958563153631985,35.41830824022846,12.719871941953897,88.60436780378222
llm.generate,14,145.2168932580389,10372.635232717064,8675.358402077109,17493.279816117138
context_store_memory,28,0.002394723240286112,0.08552583001021828,0.005570240318775177,0.35054609179496765
